time,val_accuracy
0.0,0.0
22.5,0.099
40.9,0.1139
59.4,0.1505
77.9,0.4617
96.4,0.6379
114.8,0.6172
133.3,0.7023
151.7,0.5154
170.1,0.6666
188.6,0.6918
207.0,0.7144
225.4,0.808
243.8,0.7808
262.2,0.7799
280.7,0.7641
299.1,0.8606
317.5,0.8697
336.0,0.868
354.5,0.8704
373.1,0.8618
391.6,0.8684
410.2,0.8709
428.7,0.8736
447.2,0.875
465.7,0.8631
484.1,0.877
502.7,0.8759
612.5,0.8789
630.9,0.8773
649.2,0.8775
667.5,0.8777
685.9,0.8787
704.3,0.8774
722.9,0.8783
741.4,0.8789
759.9,0.8777
778.4,0.8786
797.0,0.8781
815.6,0.8779
834.3,0.8771
852.9,0.8769
871.5,0.8781
890.1,0.8759
908.7,0.8777
927.3,0.8765
945.9,0.876
964.5,0.8786
983.0,0.8774
1001.6,0.8779
1020.2,0.8771
